@relation bank_marketing_no

@attribute age {20-below,21-30s,40s,50s,60-70s,71-above}
@attribute job {student,management,services,blue-collar,technician,admin.,housemaid,entrepreneur,unemployed,self-employed,unknown,retired}
@attribute marital {single,married,divorced}
@attribute education {primary,unknown,tertiary,secondary}
@attribute default_credit {no,yes}
@attribute balance {zero,10k-40k,1k-2k,3k-4k,50k-above,5k-9k,below-1k,negative}
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute call_duration {100-500s,100s-below,500-1k,1k-above}
@attribute past_marketing {failure,unknown,other,success}

@data
20-below,student,single,primary,no,zero,no,no,100-500s,failure
20-below,student,single,primary,no,zero,no,no,100s-below,failure
20-below,student,single,primary,no,zero,no,no,100s-below,unknown
20-below,student,single,unknown,no,zero,no,no,100-500s,unknown
21-30s,management,married,tertiary,no,zero,yes,no,100s-below,failure
21-30s,management,married,tertiary,no,zero,yes,no,100s-below,other
21-30s,services,married,secondary,no,zero,yes,yes,100-500s,other
21-30s,blue-collar,married,secondary,no,zero,yes,yes,100s-below,failure
21-30s,management,married,tertiary,no,zero,yes,no,100-500s,success
21-30s,management,divorced,tertiary,no,zero,yes,no,100s-below,failure
21-30s,blue-collar,single,secondary,no,zero,yes,no,100s-below,other
21-30s,services,single,secondary,no,zero,yes,no,100-500s,failure
21-30s,technician,married,secondary,no,zero,yes,yes,100s-below,other
21-30s,management,divorced,tertiary,no,zero,yes,yes,100-500s,failure
21-30s,admin.,married,secondary,no,zero,no,no,500-1k,other
21-30s,services,married,secondary,no,zero,yes,no,100-500s,failure
21-30s,blue-collar,married,secondary,no,zero,yes,no,100-500s,other
21-30s,blue-collar,married,secondary,no,zero,yes,no,100s-below,failure
21-30s,admin.,married,tertiary,no,zero,yes,yes,100-500s,failure
21-30s,housemaid,divorced,primary,no,zero,yes,yes,100s-below,failure
21-30s,management,single,tertiary,no,zero,yes,no,100-500s,failure
21-30s,management,married,tertiary,no,zero,no,no,100-500s,failure
21-30s,student,single,tertiary,no,zero,no,no,100-500s,other
21-30s,admin.,single,secondary,no,zero,yes,yes,100-500s,failure
21-30s,services,married,secondary,no,zero,yes,no,100-500s,failure
21-30s,technician,married,secondary,no,zero,yes,no,100-500s,failure
21-30s,technician,married,tertiary,no,zero,yes,yes,100-500s,other
21-30s,services,single,primary,no,zero,no,yes,100-500s,other
21-30s,admin.,married,secondary,no,zero,yes,no,100-500s,failure
21-30s,management,single,tertiary,no,zero,yes,no,100-500s,other
21-30s,technician,married,secondary,no,zero,yes,yes,100-500s,other
21-30s,blue-collar,married,secondary,no,zero,yes,no,100-500s,other
21-30s,technician,single,secondary,no,zero,yes,no,100s-below,other
21-30s,technician,single,secondary,no,zero,yes,no,100s-below,other
21-30s,blue-collar,married,secondary,no,zero,yes,no,100s-below,failure
21-30s,management,married,tertiary,no,zero,yes,no,100s-below,success
21-30s,blue-collar,married,primary,no,zero,yes,no,100-500s,failure
21-30s,student,married,tertiary,no,zero,no,no,100-500s,other
21-30s,technician,divorced,secondary,no,zero,no,no,100-500s,other
21-30s,blue-collar,married,secondary,no,zero,yes,no,100s-below,failure
21-30s,blue-collar,married,primary,no,zero,yes,yes,100s-below,failure
21-30s,technician,single,secondary,no,zero,yes,yes,100s-below,other
21-30s,management,single,tertiary,no,zero,no,yes,100-500s,failure
21-30s,blue-collar,single,secondary,no,zero,yes,no,100-500s,failure
21-30s,blue-collar,single,secondary,no,zero,no,no,100-500s,success
21-30s,services,married,tertiary,no,zero,yes,no,100-500s,failure
21-30s,entrepreneur,married,tertiary,no,zero,no,no,100s-below,failure
21-30s,management,single,tertiary,no,zero,yes,no,500-1k,failure
21-30s,management,divorced,tertiary,no,zero,no,no,100-500s,failure
21-30s,blue-collar,married,secondary,no,zero,yes,no,100s-below,success
21-30s,services,divorced,primary,no,zero,yes,no,100-500s,failure
21-30s,services,married,secondary,no,zero,yes,no,100-500s,failure
21-30s,management,married,tertiary,no,zero,yes,no,100-500s,failure
21-30s,management,single,tertiary,no,zero,yes,yes,100-500s,failure
21-30s,unemployed,single,tertiary,no,zero,yes,no,100-500s,other
21-30s,admin.,married,secondary,no,zero,yes,yes,100-500s,other
21-30s,services,divorced,secondary,no,zero,yes,yes,100-500s,failure
21-30s,technician,single,tertiary,no,zero,yes,no,100-500s,other
21-30s,management,married,tertiary,no,zero,yes,no,100s-below,failure
21-30s,services,married,primary,no,zero,no,no,100s-below,failure
21-30s,blue-collar,married,unknown,no,zero,no,no,500-1k,failure
21-30s,blue-collar,divorced,secondary,no,zero,yes,no,100-500s,failure
21-30s,admin.,single,secondary,no,zero,yes,no,100-500s,other
21-30s,blue-collar,married,primary,no,zero,yes,no,100-500s,other
21-30s,blue-collar,married,secondary,no,zero,yes,no,100-500s,failure
21-30s,technician,single,tertiary,no,zero,yes,no,100-500s,success
21-30s,services,single,secondary,no,zero,yes,no,100-500s,failure
21-30s,management,single,tertiary,no,zero,no,no,100-500s,other
21-30s,admin.,married,secondary,no,zero,no,no,100s-below,failure
21-30s,admin.,single,secondary,no,zero,yes,no,100s-below,failure
21-30s,admin.,single,secondary,no,zero,yes,yes,100s-below,failure
21-30s,services,single,secondary,no,zero,no,no,100s-below,failure
21-30s,management,single,tertiary,no,zero,yes,no,100s-below,other
21-30s,management,married,tertiary,no,zero,yes,no,500-1k,failure
21-30s,admin.,married,tertiary,no,zero,yes,yes,100-500s,other
21-30s,blue-collar,single,secondary,no,zero,yes,no,100s-below,failure
21-30s,management,married,tertiary,no,zero,no,no,100-500s,failure
21-30s,management,single,secondary,yes,zero,no,no,100-500s,failure
21-30s,technician,married,secondary,no,zero,yes,no,500-1k,other
21-30s,blue-collar,married,secondary,no,zero,yes,no,500-1k,failure
21-30s,admin.,married,secondary,no,zero,yes,no,100-500s,failure
21-30s,technician,married,tertiary,no,zero,yes,yes,100-500s,failure
21-30s,technician,divorced,secondary,no,zero,yes,yes,100-500s,other
21-30s,blue-collar,married,primary,no,zero,yes,yes,500-1k,other
21-30s,entrepreneur,married,tertiary,no,zero,yes,no,100-500s,failure
21-30s,management,single,tertiary,no,zero,yes,no,100-500s,failure
21-30s,admin.,single,secondary,no,zero,no,no,100-500s,other
21-30s,technician,married,secondary,no,zero,yes,no,100-500s,failure
21-30s,admin.,married,secondary,no,zero,yes,yes,100-500s,failure
21-30s,blue-collar,single,secondary,no,zero,yes,no,100-500s,failure
21-30s,services,married,secondary,no,zero,yes,yes,100-500s,failure
21-30s,management,married,secondary,no,zero,no,no,100-500s,failure
21-30s,blue-collar,married,primary,no,zero,yes,no,100-500s,failure
21-30s,management,single,tertiary,no,zero,yes,no,100s-below,other
21-30s,blue-collar,married,secondary,no,zero,yes,no,100s-below,failure
21-30s,blue-collar,married,primary,no,zero,yes,no,100s-below,failure
21-30s,housemaid,married,secondary,no,zero,yes,no,500-1k,failure
21-30s,blue-collar,married,secondary,no,zero,yes,no,500-1k,failure
21-30s,blue-collar,married,secondary,no,zero,yes,no,100-500s,failure
21-30s,blue-collar,married,primary,no,zero,yes,no,100-500s,failure
21-30s,services,divorced,primary,no,zero,yes,no,100-500s,failure
21-30s,student,single,secondary,no,zero,no,no,100-500s,failure
21-30s,technician,married,tertiary,no,zero,yes,yes,100-500s,failure
21-30s,admin.,single,secondary,no,zero,yes,no,100-500s,failure
21-30s,management,married,tertiary,no,zero,yes,no,100-500s,other
21-30s,services,single,secondary,no,zero,no,no,100-500s,other
21-30s,technician,single,unknown,no,zero,yes,no,100-500s,success
21-30s,technician,married,secondary,no,zero,yes,no,100-500s,other
21-30s,management,married,tertiary,no,zero,yes,no,100-500s,other
21-30s,services,married,primary,no,zero,yes,yes,100-500s,other
21-30s,blue-collar,married,primary,no,zero,yes,no,100-500s,failure
21-30s,admin.,married,tertiary,no,zero,no,no,100-500s,other
21-30s,management,married,tertiary,no,zero,yes,no,100-500s,failure
21-30s,admin.,single,tertiary,no,zero,yes,no,100s-below,success
